,Name,G (a.u.),∆G (kcal/mol),Boltzmann-298.15
0,conf1,-76.589014,0.0,0.9640412609659694
1,conf2,-76.580194,5.53,9.640412609659694e-05
2,conf3,-76.58591,1.95,0.035862334907934064
